Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS001,Chrome 89.0.4389.90,Data driven test for finding service centre around the several suburb names in the data files,,2021-03-27 17:47:47,2021-03-27 17:56:20,8m - 33.122s,PASSED
,,,,,,,
Test Cases/TC002,Chrome 89.0.4389.90,"Step 1-Navigate to given URL
Step 2-Search for given keyword
Step 3-Click on find location 
Step 4-Enter suburb name
Step 5-Filtered to only show service centre name
Step 6-Click one of service centre name",,2021-03-27 17:47:49,2021-03-27 17:48:16,27.033s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-27 17:47:50,2021-03-27 17:47:53,3.171s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-27 17:47:53,2021-03-27 17:47:53,0.269s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 89.0.4389.90,,,2021-03-27 17:47:53,2021-03-27 17:47:57,3.664s,PASSED
"click(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""))",Chrome 89.0.4389.90,,,2021-03-27 17:47:57,2021-03-27 17:47:58,1.205s,PASSED
"setText(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""), ""Apply for a number plate"")",Chrome 89.0.4389.90,,,2021-03-27 17:47:58,2021-03-27 17:48:00,1.739s,PASSED
"click(findTestObject(""Service NSW Object/button_apply for a number plate_button button--primary""))",Chrome 89.0.4389.90,,,2021-03-27 17:48:00,2021-03-27 17:48:03,3.321s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_87 results found""), 0)",Chrome 89.0.4389.90,,,2021-03-27 17:48:03,2021-03-27 17:48:04,0.690s,PASSED
"click(findTestObject(""Service NSW Object/a_Apply for a number plate""))",Chrome 89.0.4389.90,,,2021-03-27 17:48:04,2021-03-27 17:48:07,3.337s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/a_Find locations""))",Chrome 89.0.4389.90,,,2021-03-27 17:48:07,2021-03-27 17:48:10,2.314s,PASSED
"setText(findTestObject(""Object Repository/Service NSW Object/input_Search by suburb, postcode or current_d530bf""), suburb)",Chrome 89.0.4389.90,,,2021-03-27 17:48:10,2021-03-27 17:48:13,3.459s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Sydney South 2000_button button--pri_c5c898""))",Chrome 89.0.4389.90,,,2021-03-27 17:48:13,2021-03-27 17:48:13,0.516s,PASSED
